Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-7500;850;0;0;3163265.306;-0.0034;-0.001422581;-0.0048;-0.0028;0.00022;0.00024;0.000161226;0.00031;1;4;2
B15;15;-11000;1100;0;0;3977272.727;-0.0034;-0.001659429;-0.0048;-0.0028;0.00022;0.00024;0.000165943;0.00031;1;4;2
B20;20;-15000;1350;0;0;5789473.684;-0.0034;-0.001554545;-0.0048;-0.0028;0.00022;0.00024;0.000139909;0.00031;1;4;2
B25;25;-18500;1550;0;0;6857142.857;-0.0034;-0.00161875;-0.0048;-0.0028;0.00022;0.00024;0.000135625;0.00031;1;4;2
B30;30;-22000;1750;0;0;7878787.879;-0.0034;-0.001675385;-0.0048;-0.0028;0.00022;0.00024;0.000133269;0.00031;1;4;2
B35;35;-25500;1950;0;0;8870967.742;-0.0034;-0.001724727;-0.0048;-0.0028;0.00022;0.00024;0.000131891;0.00031;1;4;2
B40;40;-29000;2100;0;0;9827586.207;-0.0034;-0.001770526;-0.0048;-0.0028;0.00022;0.00024;0.000128211;0.00031;1;4;2
