Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-7500;850;0;0;4797979.798;-0.004;-0.001563158;-0.0056;-0.0034;0.00026;0.00028;0.000177158;0.00036;1;4;3
B15;15;-11000;1100;0;0;6896551.724;-0.004;-0.001595;-0.0056;-0.0034;0.00026;0.00028;0.0001595;0.00036;1;4;3
B20;20;-15000;1350;0;0;9166666.667;-0.004;-0.001636364;-0.0056;-0.0034;0.00026;0.00028;0.000147273;0.00036;1;4;3
B25;25;-18500;1550;0;0;10869565.22;-0.004;-0.001702;-0.0056;-0.0034;0.00026;0.00028;0.0001426;0.00036;1;4;3
B30;30;-22000;1750;0;0;12896825.4;-0.004;-0.001705846;-0.0056;-0.0034;0.00026;0.00028;0.000135692;0.00036;1;4;3
B35;35;-25500;1950;0;0;14375000;-0.004;-0.001773913;-0.0056;-0.0034;0.00026;0.00028;0.000135652;0.00036;1;4;3
B40;40;-29000;2100;0;0;15789473.68;-0.004;-0.001836667;-0.0056;-0.0034;0.00026;0.00028;0.000133;0.00036;1;4;3
B45;45;-32000;2250;0;0;17129629.63;-0.004;-0.001868108;-0.0056;-0.0034;0.00026;0.00028;0.000131351;0.00036;1;4;3
B50;50;-36000;2450;0;0;18627450.98;-0.004;-0.001932632;-0.0056;-0.0034;0.00026;0.00028;0.000131526;0.00036;1;4;3
B55;55;-39500;2600;0;0;20312500;-0.004;-0.001944615;-0.0056;-0.0034;0.00026;0.00028;0.000128;0.00036;1;4;3
B60;60;-43000;2750;0;0;21944444.44;-0.004;-0.001959494;-0.0056;-0.0034;0.00026;0.00028;0.000125316;0.00036;1;4;3
B70;70;-50000;3000;0;0;22777777.78;-0.004;-0.002195122;-0.0033;-0.0034;0.00026;0.00028;0.000131707;0.00036;1;4;3
B80;80;-57000;3300;0;0;23333333.33;-0.004;-0.002442857;-0.003133333;-0.0034;0.00026;0.00028;0.000141429;0.00036;1;4;3
B90;90;-64000;3600;0;0;23611111.11;-0.004;-0.002710588;-0.002966667;-0.0034;0.00026;0.00028;0.000152471;0.00036;1;4;3
B100;100;-71000;3800;0;0;23888888.89;-0.004;-0.002972093;-0.0028;-0.0034;0.00026;0.00028;0.00015907;0.00036;1;4;3
