Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;ProkatType;NormName
С355П (8-16 мм);355;-355000;355000;355000;470000;206000000;0.001723;0.001034;-0.025000;0.001723;0.000000;0.001723;0.001034;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355П (16-40 мм);345;-345000;345000;345000;470000;206000000;0.001675;0.001005;-0.025000;0.001675;0.000000;0.001675;0.001005;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С390 (8-50 мм);390;-390000;390000;390000;520000;206000000;0.001893;0.001136;-0.025000;0.001893;0.000000;0.001893;0.001136;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С390-1 (8-50 мм);390;-390000;390000;390000;520000;206000000;0.001893;0.001136;-0.025000;0.001893;0.000000;0.001893;0.001136;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С440 (8-50 мм);440;-440000;440000;440000;540000;206000000;0.002136;0.001282;-0.025000;0.002136;0.000000;0.002136;0.001282;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С550 (8-50 мм);540;-540000;540000;540000;640000;206000000;0.002621;0.001573;-0.025000;0.002621;0.000000;0.002621;0.001573;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С590 (8-50 мм);590;-590000;590000;590000;685000;206000000;0.002864;0.001718;-0.025000;0.002864;0.000000;0.002864;0.001718;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С245 (4-20 мм);245;-245000;245000;245000;370000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С245 (20-40 мм);235;-235000;235000;235000;370000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С255 (4-10 мм);255;-255000;255000;255000;380000;206000000;0.001238;0.000743;-0.025000;0.001238;0.000000;0.001238;0.000743;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С255 (10-20 мм);245;-245000;245000;245000;370000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С255 (20-40 мм);235;-235000;235000;235000;370000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С345 (4-10 мм);345;-345000;345000;345000;480000;206000000;0.001675;0.001005;-0.025000;0.001675;0.000000;0.001675;0.001005;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С345 (10-20 мм);325;-325000;325000;325000;470000;206000000;0.001578;0.000947;-0.025000;0.001578;0.000000;0.001578;0.000947;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С345 (20-40 мм);305;-305000;305000;305000;460000;206000000;0.001481;0.000888;-0.025000;0.001481;0.000000;0.001481;0.000888;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С345К (4-10 мм);345;-345000;345000;345000;480000;206000000;0.001675;0.001005;-0.025000;0.001675;0.000000;0.001675;0.001005;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С355 (8-16 мм);355;-355000;355000;355000;470000;206000000;0.001723;0.001034;-0.025000;0.001723;0.000000;0.001723;0.001034;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С355 (16-40 мм);345;-345000;345000;345000;480000;206000000;0.001675;0.001005;-0.025000;0.001675;0.000000;0.001675;0.001005;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С355-1 (8-16 мм);355;-355000;355000;355000;480000;206000000;0.001723;0.001034;-0.025000;0.001723;0.000000;0.001723;0.001034;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С355-1 (16-40 мм);345;-345000;345000;345000;480000;206000000;0.001675;0.001005;-0.025000;0.001675;0.000000;0.001675;0.001005;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С390 (8-10 мм);390;-390000;390000;390000;520000;206000000;0.001893;0.001136;-0.025000;0.001893;0.000000;0.001893;0.001136;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С390 (10-20 мм);380;-380000;380000;380000;500000;206000000;0.001845;0.001107;-0.025000;0.001845;0.000000;0.001845;0.001107;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С390 (20-40 мм);370;-370000;370000;370000;490000;206000000;0.001796;0.001078;-0.025000;0.001796;0.000000;0.001796;0.001078;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
