Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-7500;850;0;0;4078947.368;-0.004;-0.001103226;-0.0056;-0.0034;0.00026;0.00028;0.000125032;0.00036;1;4;3
B15;15;-11000;1100;0;0;5147058.824;-0.004;-0.001282286;-0.0056;-0.0034;0.00026;0.00028;0.000128229;0.00036;1;4;3
B20;20;-15000;1350;0;0;7333333.333;-0.004;-0.001227273;-0.0056;-0.0034;0.00026;0.00028;0.000110455;0.00036;1;4;3
B25;25;-18500;1550;0;0;8571428.571;-0.004;-0.001295;-0.0056;-0.0034;0.00026;0.00028;0.0001085;0.00036;1;4;3
B30;30;-22000;1750;0;0;10000000;-0.004;-0.00132;-0.0056;-0.0034;0.00026;0.00028;0.000105;0.00036;1;4;3
B35;35;-25500;1950;0;0;11000000;-0.004;-0.001390909;-0.0056;-0.0034;0.00026;0.00028;0.000106364;0.00036;1;4;3
B40;40;-29000;2100;0;0;11875000;-0.004;-0.001465263;-0.0056;-0.0034;0.00026;0.00028;0.000106105;0.00036;1;4;3
