Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-5400;504;0;0;15500000;-0.002;-0.000209032;-0.0035;-0.0015;0.00008;0.0001;1.95E-05;0.00015;1;2;0
B15;15;-7650;675;0;0;17500000;-0.002;-0.000262286;-0.0035;-0.0015;0.00008;0.0001;2.31E-05;0.00015;1;2;0
B20;20;-10350;810;0;0;22000000;-0.002;-0.000282273;-0.0035;-0.0015;0.00008;0.0001;2.21E-05;0.00015;1;2;0
B25;25;-13050;945;0;0;24000000;-0.002;-0.00032625;-0.0035;-0.0015;0.00008;0.0001;2.36E-05;0.00015;1;2;0
B30;30;-15300;1035;0;0;26000000;-0.002;-0.000353077;-0.0035;-0.0015;0.00008;0.0001;2.39E-05;0.00015;1;2;0
B35;35;-17550;1170;0;0;27500000;-0.002;-0.000382909;-0.0035;-0.0015;0.00008;0.0001;2.55E-05;0.00015;1;2;0
B40;40;-19800;1260;0;0;28500000;-0.002;-0.000416842;-0.0035;-0.0015;0.00008;0.0001;2.65E-05;0.00015;1;2;0
