Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-7500;850;0;0;15500000;-0.002;-0.000290323;-0.0035;-0.0015;0.00008;0.0001;3.29E-05;0.00015;1;3;0
B15;15;-11000;1100;0;0;17500000;-0.002;-0.000377143;-0.0035;-0.0015;0.00008;0.0001;3.77E-05;0.00015;1;3;0
B20;20;-15000;1350;0;0;22000000;-0.002;-0.000409091;-0.0035;-0.0015;0.00008;0.0001;3.68E-05;0.00015;1;3;0
B25;25;-18500;1550;0;0;24000000;-0.002;-0.0004625;-0.0035;-0.0015;0.00008;0.0001;3.88E-05;0.00015;1;3;0
B30;30;-22000;1750;0;0;26000000;-0.002;-0.000507692;-0.0035;-0.0015;0.00008;0.0001;4.04E-05;0.00015;1;3;0
B35;35;-25500;1950;0;0;27500000;-0.002;-0.000556364;-0.0035;-0.0015;0.00008;0.0001;4.25E-05;0.00015;1;3;0
B40;40;-29000;2100;0;0;28500000;-0.002;-0.000610526;-0.0035;-0.0015;0.00008;0.0001;4.42E-05;0.00015;1;3;0
