Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B15;15;-11000;1100;0;0;4852941.176;-0.004;-0.00136;-0.0056;-0.0034;0.00026;0.00028;0.000136;0.00036;1;4;3
B20;20;-15000;1350;0;0;6000000;-0.004;-0.0015;-0.0056;-0.0034;0.00026;0.00028;0.000135;0.00036;1;4;3
B25;25;-18500;1550;0;0;6964285.714;-0.004;-0.001593846;-0.0056;-0.0034;0.00026;0.00028;0.000133538;0.00036;1;4;3
B30;30;-22000;1750;0;0;8076923.077;-0.004;-0.001634286;-0.0056;-0.0034;0.00026;0.00028;0.00013;0.00036;1;4;3
B35;35;-25500;1950;0;0;8800000;-0.004;-0.001738636;-0.0056;-0.0034;0.00026;0.00028;0.000132955;0.00036;1;4;3
B40;40;-29000;2100;0;0;9583333.333;-0.004;-0.001815652;-0.0056;-0.0034;0.00026;0.00028;0.000131478;0.00036;1;4;3
B45;45;-32000;2250;0;0;10217391.3;-0.004;-0.001879149;-0.0056;-0.0034;0.00026;0.00028;0.000132128;0.00036;1;4;3
B50;50;-36000;2450;0;0;10909090.91;-0.004;-0.00198;-0.0056;-0.0034;0.00026;0.00028;0.00013475;0.00036;1;4;3
B55;55;-39500;2600;0;0;11666666.67;-0.004;-0.002031429;-0.0056;-0.0034;0.00026;0.00028;0.000133714;0.00036;1;4;3
B60;60;-43000;2750;0;0;12500000;-0.004;-0.002064;-0.0056;-0.0034;0.00026;0.00028;0.000132;0.00036;1;4;3
