Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-6000;560;0;0;15500000;-0.002;-0.000232258;-0.0035;-0.0015;0.00008;0.0001;2.17E-05;0.00015;1;1;0
B15;15;-8500;750;0;0;17500000;-0.002;-0.000291429;-0.0035;-0.0015;0.00008;0.0001;2.57E-05;0.00015;1;1;0
B20;20;-11500;900;0;0;22000000;-0.002;-0.000313636;-0.0035;-0.0015;0.00008;0.0001;2.45E-05;0.00015;1;1;0
B25;25;-14500;1050;0;0;24000000;-0.002;-0.0003625;-0.0035;-0.0015;0.00008;0.0001;2.63E-05;0.00015;1;1;0
B30;30;-17000;1150;0;0;26000000;-0.002;-0.000392308;-0.0035;-0.0015;0.00008;0.0001;2.65E-05;0.00015;1;1;0
B35;35;-19500;1300;0;0;27500000;-0.002;-0.000425455;-0.0035;-0.0015;0.00008;0.0001;2.84E-05;0.00015;1;1;0
B40;40;-22000;1400;0;0;28500000;-0.002;-0.000463158;-0.0035;-0.0015;0.00008;0.0001;2.95E-05;0.00015;1;1;0
