Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-7500;850;0;0;2348484.848;-0.003;-0.001916129;-0.0042;-0.0024;0.00019;0.00021;0.000217161;0.00027;1;4;1
B15;15;-11000;1100;0;0;3017241.379;-0.003;-0.002187429;-0.0042;-0.0024;0.00019;0.00021;0.000218743;0.00027;1;4;1
B20;20;-15000;1350;0;0;4400000;-0.003;-0.002045455;-0.0042;-0.0024;0.00019;0.00021;0.000184091;0.00027;1;4;1
B25;25;-18500;1550;0;0;5217391.304;-0.003;-0.0021275;-0.0042;-0.0024;0.00019;0.00021;0.00017825;0.00027;1;4;1
B30;30;-22000;1750;0;0;6190476.19;-0.003;-0.002132308;-0.0042;-0.0024;0.00019;0.00021;0.000169615;0.00027;1;4;1
B35;35;-25500;1950;0;0;6875000;-0.003;-0.002225455;-0.0042;-0.0024;0.00019;0.00021;0.000170182;0.00027;1;4;1
B40;40;-29000;2100;0;0;7500000;-0.003;-0.00232;-0.0042;-0.0024;0.00019;0.00021;0.000168;0.00027;1;4;1
