Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;ProkatType;NormName
С235 (2-8 мм);230;-230000;230000;230000;350000;206000000;0.001117;0.000670;-0.025000;0.001117;0.000000;0.001117;0.000670;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С245 (2-20 мм);240;-240000;240000;240000;360000;206000000;0.001165;0.000699;-0.025000;0.001165;0.000000;0.001165;0.000699;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С245 (20-30 мм);230;-230000;230000;230000;360000;206000000;0.001117;0.000670;-0.025000;0.001117;0.000000;0.001117;0.000670;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С255 (2-20 мм);240;-240000;240000;240000;360000;206000000;0.001165;0.000699;-0.025000;0.001165;0.000000;0.001165;0.000699;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С255 (20-40 мм);230;-230000;230000;230000;360000;206000000;0.001117;0.000670;-0.025000;0.001117;0.000000;0.001117;0.000670;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С285 (2-10 мм);270;-270000;270000;270000;380000;206000000;0.001311;0.000786;-0.025000;0.001311;0.000000;0.001311;0.000786;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С285 (10-20 мм);260;-260000;260000;260000;370000;206000000;0.001262;0.000757;-0.025000;0.001262;0.000000;0.001262;0.000757;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345 (2-20 мм);320;-320000;320000;320000;460000;206000000;0.001553;0.000932;-0.025000;0.001553;0.000000;0.001553;0.000932;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345 (20-40 мм);300;-300000;300000;300000;450000;206000000;0.001456;0.000874;-0.025000;0.001456;0.000000;0.001456;0.000874;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345 (40-80 мм);280;-280000;280000;280000;440000;206000000;0.001359;0.000816;-0.025000;0.001359;0.000000;0.001359;0.000816;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345 (80-100 мм);260;-260000;260000;260000;420000;206000000;0.001262;0.000757;-0.025000;0.001262;0.000000;0.001262;0.000757;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С345К (4-10 мм);335;-335000;335000;335000;460000;206000000;0.001626;0.000976;-0.025000;0.001626;0.000000;0.001626;0.000976;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С375 (2-20 мм);345;-345000;345000;345000;480000;206000000;0.001675;0.001005;-0.025000;0.001675;0.000000;0.001675;0.001005;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С375 (20-40 мм);325;-325000;325000;325000;470000;206000000;0.001578;0.000947;-0.025000;0.001578;0.000000;0.001578;0.000947;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С390 (4-50 мм);380;-380000;380000;380000;525000;206000000;0.001845;0.001107;-0.025000;0.001845;0.000000;0.001845;0.001107;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С440 (4-30 мм);430;-430000;430000;430000;575000;206000000;0.002087;0.001252;-0.025000;0.002087;0.000000;0.002087;0.001252;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С440 (30-50 мм);400;-400000;400000;400000;555000;206000000;0.001942;0.001165;-0.025000;0.001942;0.000000;0.001942;0.001165;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С590 (10-40 мм);575;-575000;575000;575000;670000;206000000;0.002791;0.001675;-0.025000;0.002791;0.000000;0.002791;0.001675;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
С590К (10-40 мм);575;-575000;575000;575000;670000;206000000;0.002791;0.001675;-0.025000;0.002791;0.000000;0.002791;0.001675;0.025000;4;1;0;Лист и фасон;СП 16.13330.2011
20 (4-36 мм);225;-225000;225000;225000;375000;206000000;0.001092;0.000655;-0.025000;0.001092;0.000000;0.001092;0.000655;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3кп (1-10 мм);215;-215000;215000;215000;350000;206000000;0.001044;0.000626;-0.025000;0.001044;0.000000;0.001044;0.000626;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3пс (1-10 мм);215;-215000;215000;215000;350000;206000000;0.001044;0.000626;-0.025000;0.001044;0.000000;0.001044;0.000626;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3пс4 (4-15 мм);235;-235000;235000;235000;350000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3сп (1-10 мм);215;-215000;215000;215000;350000;206000000;0.001044;0.000626;-0.025000;0.001044;0.000000;0.001044;0.000626;0.025000;4;1;0;Труба;СП 16.13330.2011
ВСт3сп4 (4-15 мм);235;-235000;235000;235000;350000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Труба;СП 16.13330.2011
