Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B15;15;-11000;1100;0;0;3750000;-0.0034;-0.00176;-0.0048;-0.0028;0.00022;0.00024;0.000176;0.00031;1;4;2
B20;20;-15000;1350;0;0;4736842.105;-0.0034;-0.0019;-0.0048;-0.0028;0.00022;0.00024;0.000171;0.00031;1;4;2
B25;25;-18500;1550;0;0;5571428.571;-0.0034;-0.001992308;-0.0048;-0.0028;0.00022;0.00024;0.000166923;0.00031;1;4;2
B30;30;-22000;1750;0;0;6363636.364;-0.0034;-0.002074286;-0.0048;-0.0028;0.00022;0.00024;0.000165;0.00031;1;4;2
B35;35;-25500;1950;0;0;7096774.194;-0.0034;-0.002155909;-0.0048;-0.0028;0.00022;0.00024;0.000164864;0.00031;1;4;2
B40;40;-29000;2100;0;0;7931034.483;-0.0034;-0.002193913;-0.0048;-0.0028;0.00022;0.00024;0.00015887;0.00031;1;4;2
B45;45;-32000;2250;0;0;8392857.143;-0.0034;-0.00228766;-0.0048;-0.0028;0.00022;0.00024;0.000160851;0.00031;1;4;2
B50;50;-36000;2450;0;0;9230769.231;-0.0034;-0.00234;-0.0048;-0.0028;0.00022;0.00024;0.00015925;0.00031;1;4;2
B55;55;-39500;2600;0;0;9800000;-0.0034;-0.002418367;-0.0048;-0.0028;0.00022;0.00024;0.000159184;0.00031;1;4;2
B60;60;-43000;2750;0;0;10416666.67;-0.0034;-0.0024768;-0.0048;-0.0028;0.00022;0.00024;0.0001584;0.00031;1;4;2
