Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;ProkatType;NormName
С345 (40-60 мм);280;-280000;280000;280000;440000;206000000;0.001359;0.000816;-0.025000;0.001359;0.000000;0.001359;0.000816;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С345 (60-80 мм);270;-270000;270000;270000;430000;206000000;0.001311;0.000786;-0.025000;0.001311;0.000000;0.001311;0.000786;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С345 (80-160 мм);260;-260000;260000;260000;420000;206000000;0.001262;0.000757;-0.025000;0.001262;0.000000;0.001262;0.000757;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С345К (4-10 мм);340;-340000;340000;340000;460000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355 (8-16 мм);350;-350000;350000;350000;460000;206000000;0.001699;0.001019;-0.025000;0.001699;0.000000;0.001699;0.001019;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355 (16-40 мм);340;-340000;340000;340000;460000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355 (40-60 мм);330;-330000;330000;330000;460000;206000000;0.001602;0.000961;-0.025000;0.001602;0.000000;0.001602;0.000961;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355 (60-80 мм);320;-320000;320000;320000;450000;206000000;0.001553;0.000932;-0.025000;0.001553;0.000000;0.001553;0.000932;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355 (80-100 мм);310;-310000;310000;310000;450000;206000000;0.001505;0.000903;-0.025000;0.001505;0.000000;0.001505;0.000903;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355 (100-160 мм);285;-285000;285000;285000;450000;206000000;0.001383;0.000830;-0.025000;0.001383;0.000000;0.001383;0.000830;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355-1 (8-16 мм);350;-350000;350000;350000;460000;206000000;0.001699;0.001019;-0.025000;0.001699;0.000000;0.001699;0.001019;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355-1 (16-40 мм);340;-340000;340000;340000;460000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355-1 (40-50 мм);330;-330000;330000;330000;460000;206000000;0.001602;0.000961;-0.025000;0.001602;0.000000;0.001602;0.000961;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355-К (8-16 мм);350;-350000;350000;350000;460000;206000000;0.001699;0.001019;-0.025000;0.001699;0.000000;0.001699;0.001019;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
