Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-7500;850;0;0;6462585.034;-0.0034;-0.001160526;-0.0048;-0.0028;0.00022;0.00024;0.000131526;0.00031;1;4;2
B15;15;-11000;1100;0;0;9090909.091;-0.0034;-0.00121;-0.0048;-0.0028;0.00022;0.00024;0.000121;0.00031;1;4;2
B20;20;-15000;1350;0;0;12061403.51;-0.0034;-0.001243636;-0.0048;-0.0028;0.00022;0.00024;0.000111927;0.00031;1;4;2
B25;25;-18500;1550;0;0;14285714.29;-0.0034;-0.001295;-0.0048;-0.0028;0.00022;0.00024;0.0001085;0.00031;1;4;2
B30;30;-22000;1750;0;0;16414141.41;-0.0034;-0.001340308;-0.0048;-0.0028;0.00022;0.00024;0.000106615;0.00031;1;4;2
B35;35;-25500;1950;0;0;18548387.1;-0.0034;-0.001374783;-0.0048;-0.0028;0.00022;0.00024;0.00010513;0.00031;1;4;2
B40;40;-29000;2100;0;0;20689655.17;-0.0034;-0.001401667;-0.0048;-0.0028;0.00022;0.00024;0.0001015;0.00031;1;4;2
B45;45;-32000;2250;0;0;22023809.52;-0.0034;-0.001452973;-0.0048;-0.0028;0.00022;0.00024;0.000102162;0.00031;1;4;2
B50;50;-36000;2450;0;0;24358974.36;-0.0034;-0.001477895;-0.0048;-0.0028;0.00022;0.00024;0.000100579;0.00031;1;4;2
B55;55;-39500;2600;0;0;26000000;-0.0034;-0.001519231;-0.0048;-0.0028;0.00022;0.00024;0.0001;0.00031;1;4;2
B60;60;-43000;2750;0;0;27430555.56;-0.0034;-0.001567595;-0.0048;-0.0028;0.00022;0.00024;0.000100253;0.00031;1;4;2
B70;70;-50000;3000;0;0;28472222.22;-0.0034;-0.001756098;-0.0033;-0.0028;0.00022;0.00024;0.000105366;0.00031;1;4;2
B80;80;-57000;3300;0;0;29166666.67;-0.0034;-0.001954286;-0.003133333;-0.0028;0.00022;0.00024;0.000113143;0.00031;1;4;2
B90;90;-64000;3600;0;0;29513888.89;-0.0034;-0.002168471;-0.002966667;-0.0028;0.00022;0.00024;0.000121976;0.00031;1;4;2
B100;100;-71000;3800;0;0;29861111.11;-0.0034;-0.002377674;-0.0028;-0.0028;0.00022;0.00024;0.000127256;0.00031;1;4;2
