Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;ProkatType;NormName
С235 (2-4 мм);235;-235000;235000;235000;360000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С245 (2-20 мм);245;-245000;245000;245000;370000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С255 (2-4 мм);255;-255000;255000;255000;380000;206000000;0.001238;0.000743;-0.025000;0.001238;0.000000;0.001238;0.000743;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С255 (4-10 мм);245;-245000;245000;245000;380000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С255 (10-20 мм);245;-245000;245000;245000;370000;206000000;0.001189;0.000714;-0.025000;0.001189;0.000000;0.001189;0.000714;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С255 (20-40 мм);235;-235000;235000;235000;370000;206000000;0.001141;0.000684;-0.025000;0.001141;0.000000;0.001141;0.000684;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С345 (2-10 мм);345;-345000;345000;345000;490000;206000000;0.001675;0.001005;-0.025000;0.001675;0.000000;0.001675;0.001005;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С345 (10-20 мм);325;-325000;325000;325000;470000;206000000;0.001578;0.000947;-0.025000;0.001578;0.000000;0.001578;0.000947;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С345 (20-40 мм);305;-305000;305000;305000;460000;206000000;0.001481;0.000888;-0.025000;0.001481;0.000000;0.001481;0.000888;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
С345 (40-60 мм);285;-285000;285000;285000;450000;206000000;0.001383;0.000830;-0.025000;0.001383;0.000000;0.001383;0.000830;0.025000;4;1;0;Листовой, широкополосный универсальный, сортовой прокат и трубы;СП 16.13330.2017
